Player,Tm,Scoring_XPM,Scoring_XPA,Scoring_FGM,Scoring_FGA,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Lng
Nick Rose,WAS,1,2,,,0,0,,
Tress Way,WAS,,,,,8,345,43.1,56
Travis Coons,LAC,3,3,3,3,0,0,,
Drew Kaser,LAC,,,,,5,264,52.8,61
