Player,Tm,Scoring_XPM,Scoring_XPA,Scoring_FGM,Scoring_FGA,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Lng
Eddy Pineiro,CAR,3,3,1,1,0,0,,0
Johnny Hekker,CAR,,,,,3,114,38.0,45
Riley Patterson,DET,6,6,,,0,0,,0
Jack Fox,DET,,,,,2,88,44.0,55
