Player,Tm,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Kick Returns_Lng,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Punt Returns_Lng
Dax Milne,WAS,0,0,,0,0,3,35,11.7,0,14
Antonio Gibson,WAS,1,27,27.0,0,27,0,0,,0,0
Velus Jones Jr.,CHI,1,22,22.0,0,22,3,16,5.3,0,10
