Player,Tm,Scoring_XPM,Scoring_XPA,Scoring_FGM,Scoring_FGA,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Lng
Brandon Aubrey,DAL,4,5,2,2,0,0,,0
Bryan Anger,DAL,,,,,3,146,48.7,56
Jamie Gillan,NYG,,,,,3,160,53.3,62
Graham Gano,NYG,,,,2,0,0,,0
