Player,Tm,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Kick Returns_Lng,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Punt Returns_Lng
Ray-Ray McCloud,BUF,0,0,,0,0,1,13,13.0,0,13
Mike Hughes,MIN,3,61,20.3,0,23,1,0,0.0,0,0
Aldrick Robinson,MIN,1,21,21.0,0,21,0,0,,0,0
