Player,Tm,Scoring_XPM,Scoring_XPA,Scoring_FGM,Scoring_FGA,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Lng
Adam Vinatieri,IND,3,3,,,0,0,,
Rigoberto Sanchez,IND,,,,,5,235,47.0,59
Tress Way,WAS,,,,,5,182,36.4,53
Dustin Hopkins,WAS,,,3,4,0,0,,
