Player,Tm,Scoring_XPM,Scoring_XPA,Scoring_FGM,Scoring_FGA,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Lng
Cade York,CLE,1,1,1,1,0,0,,0
Corey Bojorquez,CLE,,,,,4,220,55.0,65
Evan McPherson,CIN,2,3,1,1,0,0,,0
Drue Chrisman,CIN,,,,,5,205,41.0,51
