Player,Tm,Scoring_XPM,Scoring_XPA,Scoring_FGM,Scoring_FGA,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Lng
Adam Vinatieri,IND,4,4,2,2,0,0,,
Rigoberto Sanchez,IND,,,,,2,93,46.5,48
Jason Myers,NYJ,3,3,7,7,0,0,,0
Lac Edwards,NYJ,,,,,1,43,43.0,43
