Player,Tm,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Kick Returns_Lng,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Punt Returns_Lng
Tyler Ervin,HOU,3,52,17.3,0,22,3,20,6.7,0,9
Jordan Todman,HOU,1,23,23.0,0,23,0,0,,0,0
Danny Amendola,NWE,0,0,,0,0,2,53,26.5,0,33
Dion Lewis,NWE,2,44,22.0,0,24,0,0,,0,0
