Player,Tm,Scoring_XPM,Scoring_XPA,Scoring_FGM,Scoring_FGA,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Lng
Zane Gonzalez,ARI,1,1,3,3,0,0,,
Andy Lee,ARI,,,,,5,247,49.4,62
Sebastian Janikowski,SEA,3,3,2,2,0,0,,
Michael Dickson,SEA,,,,,7,330,47.1,65
