Player,Tm,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Kick Returns_Lng,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Punt Returns_Lng
Deven Thompkins,TAM,5,123,24.6,0,54,2,21,10.5,0,11
Ko Kieft,TAM,1,7,7.0,0,7,0,0,,0,0
Ray-Ray McCloud,SFO,2,54,27.0,0,30,3,43,14.3,0,15
