Player,Tm,Scoring_XPM,Scoring_XPA,Scoring_FGM,Scoring_FGA,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Lng
Robbie Gould,SFO,,1,1,1,0,0,,
Bradley Pinion,SFO,,,,,6,260,43.3,56
Cairo Santos,TAM,3,3,2,2,0,0,,
Bryan Anger,TAM,,,,,5,230,46.0,56
