Player,Tm,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Kick Returns_Lng,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Punt Returns_Lng
Donovan Peoples-Jones,CLE,1,11,11.0,0,11,1,6,6.0,0,6
D'Ernest Johnson,CLE,1,16,16.0,0,16,0,0,,0,0
Jabrill Peppers,NYG,0,0,,0,0,1,12,12.0,0,12
Dion Lewis,NYG,2,67,33.5,0,48,0,0,,0,0
