Player,Tm,Scoring_XPM,Scoring_XPA,Scoring_FGM,Scoring_FGA,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Lng
Ryan Succop,TAM,1,1,,1,0,0,,0
Jake Camarda,TAM,,,,,3,157,52.3,61
Robbie Gould,SFO,5,5,,,0,0,,0
Mitch Wishnowsky,SFO,,,,,3,134,44.7,62
