Player,Tm,Scoring_XPM,Scoring_XPA,Scoring_FGM,Scoring_FGA,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Lng
Jake Elliott,PHI,4,4,2,3,0,0,,
Cameron Johnston,PHI,,,,,5,240,48.0,53
Aldrick Rosas,NYG,1,1,2,3,0,0,,
Riley Dixon,NYG,,,,,5,253,50.6,52
