Player,Tm,Scoring_XPM,Scoring_XPA,Scoring_FGM,Scoring_FGA,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Lng
Jason Myers,SEA,2,3,2,2,0,0,,0
Michael Dickson,SEA,,,,,4,156,39.0,54
Austin Seibert,CLE,2,3,,,0,0,,0
Jamie Gillan,CLE,,,,,1,61,61.0,61
