Player,Tm,Scoring_XPM,Scoring_XPA,Scoring_FGM,Scoring_FGA,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Lng
Riley Patterson,DET,4,4,2,2,0,0,,0
Jack Fox,DET,,,,,4,180,45.0,52
Daniel Whelan,GNB,,,,,5,259,51.8,57
Anders Carlson,GNB,,,2,2,0,0,,0
