Player,Tm,Scoring_XPM,Scoring_XPA,Scoring_FGM,Scoring_FGA,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Lng
Dustin Hopkins,WAS,1,1,1,2,0,0,,
Tress Way,WAS,,,,,9,426,47.3,54
Aldrick Rosas,NYG,,1,2,2,0,0,,
Brad Wing,NYG,,,,,9,363,40.3,51
