Player,Tm,Scoring_XPM,Scoring_XPA,Scoring_FGM,Scoring_FGA,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Lng
Phil Dawson,ARI,4,4,,,0,0,,
Andy Lee,ARI,,,,,8,317,39.6,52
Bradley Pinion,SFO,,,,,4,177,44.3,50
Robbie Gould,SFO,,,,1,0,0,,
