Player,Tm,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Kick Returns_Lng,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Punt Returns_Lng
Nyheim Hines,IND,0,0,,0,0,2,-1,-0.5,0,0
Isaiah Rodgers,IND,2,44,22.0,0,23,0,0,,0,0
Jakeem Grant,MIA,0,0,,0,0,3,13,4.3,0,14
