Player,Tm,Scoring_XPM,Scoring_XPA,Scoring_FGM,Scoring_FGA,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Lng
Cameron Johnston,HOU,,,,,5,251,50.2,61
Tyler Bass,BUF,4,4,4,4,0,0,,0
Matt Haack,BUF,,,,,1,44,44.0,44
