Player,Tm,Scoring_XPM,Scoring_XPA,Scoring_FGM,Scoring_FGA,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Lng
Younghoe Koo,ATL,2,2,1,1,0,0,,0
Cameron Nizialek,ATL,,,,,6,284,47.3,58
Riley Dixon,NYG,,,,,5,229,45.8,55
Graham Gano,NYG,,,2,2,0,0,,0
