Player,Tm,Scoring_XPM,Scoring_XPA,Scoring_FGM,Scoring_FGA,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Lng
Greg Zuerlein,DAL,2,2,1,2,0,0,,0
Chris Jones,DAL,,,,,4,156,39.0,54
Sam Sloman,LAR,2,2,2,3,0,0,,0
Johnny Hekker,LAR,,,,,3,142,47.3,58
