Player,Tm,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Kick Returns_Lng,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Punt Returns_Lng
De'Anthony Thomas,BAL,3,62,20.7,0,29,2,7,3.5,0,7
Dontrell Hilliard,CLE,0,0,,0,0,1,11,11.0,0,11
Rashard Higgins,CLE,1,8,8.0,0,8,0,0,,0,0
D'Ernest Johnson,CLE,1,17,17.0,0,17,0,0,,0,0
