Player,Tm,Scoring_XPM,Scoring_XPA,Scoring_FGM,Scoring_FGA,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Lng
Zane Gonzalez,CAR,3,3,1,1,0,0,,0
Joseph Charlton,CAR,,,,,3,111,37.0,42
Joey Slye,HOU,,1,1,1,0,0,,0
Cameron Johnston,HOU,,,,,6,267,44.5,53
