Player,Tm,Scoring_XPM,Scoring_XPA,Scoring_FGM,Scoring_FGA,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Lng
Jake Elliott,PHI,2,2,,,2,77,38.5,42
Cameron Johnston,PHI,,,,,3,115,38.3,42
Mike Nugent,ARI,4,4,1,1,0,0,,0
Andy Lee,ARI,,,,,3,143,47.7,61
