Player,Tm,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Kick Returns_Lng,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Punt Returns_Lng
Bobby Rainey,BAL,4,99,24.8,0,31,0,0,,0,0
Vince Mayle,BAL,1,14,14.0,0,14,0,0,,0,0
Marcus Sherels,MIN,1,20,20.0,0,20,3,83,27.7,0,46
