Player,Tm,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Kick Returns_Lng,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Punt Returns_Lng
Trenton Irwin,CIN,0,0,,0,0,1,8,8.0,0,8
Trayveon Williams,CIN,2,53,26.5,0,41,0,0,,0,0
Ray-Ray McCloud,SFO,1,16,16.0,0,16,0,0,,0,0
