Player,Tm,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Kick Returns_Lng,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Punt Returns_Lng
C.J. Board,TEN,0,0,,0,0,2,12,6.0,0,9
Hassan Haskins,TEN,4,89,22.3,0,27,0,0,,0,0
Keisean Nixon,GNB,5,108,21.6,0,32,2,37,18.5,0,24
Randall Cobb,GNB,0,0,,0,0,1,5,5.0,0,5
