Player,Tm,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Kick Returns_Lng,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Punt Returns_Lng
Marvin Mims,DEN,0,0,,0,0,2,25,12.5,0,13
Derius Davis,LAC,2,44,22.0,0,24,0,0,,0,0
