Player,Tm,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Kick Returns_Lng,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Punt Returns_Lng
Marcus Sherels,MIN,0,0,,0,0,5,52,10.4,0,20
Brandon Zylstra,MIN,0,0,,0,0,1,5,5.0,0,5
Holton Hill,MIN,2,57,28.5,0,30,0,0,,0,0
Andre Roberts,NYJ,6,193,32.2,0,53,2,8,4.0,0,8
