Player,Tm,Scoring_XPM,Scoring_XPA,Scoring_FGM,Scoring_FGA,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Lng
Brandon Aubrey,DAL,1,1,3,3,0,0,,0
Bryan Anger,DAL,,,,,2,102,51.0,52
Matt Prater,ARI,1,1,3,3,0,0,,0
Nolan Cooney,ARI,,,,,2,94,47.0,52
