Player,Tm,Scoring_XPM,Scoring_XPA,Scoring_FGM,Scoring_FGA,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Lng
Michael Badgley,LAC,3,3,,,0,0,,
Donnie Jones,LAC,,,,,5,234,46.8,56
Colby Wadman,DEN,,,,,6,252,42.0,55
Brandon McManus,DEN,,,1,1,0,0,,0
