Player,Tm,Scoring_XPM,Scoring_XPA,Scoring_FGM,Scoring_FGA,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Lng
Chase McLaughlin,NYJ,2,2,,,0,0,,0
Braden Mann,NYJ,,,,,5,187,37.4,52
Nick Folk,NWE,4,4,,,0,0,,0
Jake Bailey,NWE,,,,,6,272,45.3,65
