Player,Tm,Scoring_XPM,Scoring_XPA,Scoring_FGM,Scoring_FGA,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Lng
Matt Ammendola,NYJ,3,3,1,1,0,0,,0
Thomas Morstead,NYJ,,,,,3,156,52.0,57
Michael Badgley,IND,6,6,1,1,0,0,,0
Rigoberto Sanchez,IND,,,,,2,85,42.5,47
