Player,Tm,Scoring_XPM,Scoring_XPA,Scoring_FGM,Scoring_FGA,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Lng
Tyler Bass,BUF,3,3,1,1,0,0,,0
Sam Martin,BUF,,,,,4,209,52.3,58
Cameron Dicker,LAC,1,1,5,5,0,0,,0
JK Scott,LAC,,,,,4,200,50.0,57
