Player,Tm,Scoring_XPM,Scoring_XPA,Scoring_FGM,Scoring_FGA,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Lng
Robbie Gould,SFO,2,2,3,4,0,0,,0
Mitch Wishnowsky,SFO,,,,,7,357,51.0,60
Matt Gay,LAR,2,2,2,2,0,0,,0
Johnny Hekker,LAR,,,,,7,343,49.0,62
