Player,Tm,Scoring_XPM,Scoring_XPA,Scoring_FGM,Scoring_FGA,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Lng
Matt Gay,LAR,2,2,2,2,0,0,,0
Johnny Hekker,LAR,,,,,5,205,41.0,53
Mason Crosby,GNB,3,3,3,4,0,0,,0
Corey Bojorquez,GNB,,,,,5,212,42.4,61
