Player,Tm,Scoring_XPM,Scoring_XPA,Scoring_FGM,Scoring_FGA,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Lng
Aldrick Rosas,NYG,1,1,3,3,0,0,,
Riley Dixon,NYG,,,,,3,133,44.3,56
Cameron Johnston,PHI,,,,,4,201,50.3,59
Jake Elliott,PHI,,,3,3,0,0,,
