Player,Tm,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Kick Returns_Lng,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Punt Returns_Lng
Desmond King,HOU,0,0,,0,0,3,17,5.7,0,13
Tremon Smith,HOU,1,32,32.0,0,32,0,0,,0,0
Adoree' Jackson,NYG,0,0,,0,0,2,2,1.0,0,2
Gary Brightwell,NYG,1,21,21.0,0,21,0,0,,0,0
