Player,Tm,Scoring_XPM,Scoring_XPA,Scoring_FGM,Scoring_FGA,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Lng
Wil Lutz,NOR,1,1,2,2,0,0,,0
Thomas Morstead,NOR,,,,,6,251,41.8,51
Logan Cooke,JAX,,,,,5,244,48.8,61
Josh Lambo,JAX,,,2,2,0,0,,0
