Player,Tm,Scoring_XPM,Scoring_XPA,Scoring_FGM,Scoring_FGA,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Lng
Bradley Pinion,SFO,,,,,7,307,43.9,51
Robbie Gould,SFO,,,3,3,0,0,,
Blair Walsh,SEA,,1,2,2,0,0,,
Jon Ryan,SEA,,,,,7,309,44.1,57
