Player,Tm,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Kick Returns_Lng,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Punt Returns_Lng
CeeDee Lamb,DAL,0,0,,0,0,1,20,20.0,0,20
Tony Pollard,DAL,2,48,24.0,0,27,0,0,,0,0
Nsimba Webster,LAR,1,20,20.0,0,20,0,0,,0,0
