Player,Tm,Scoring_XPM,Scoring_XPA,Scoring_FGM,Scoring_FGA,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Lng
Jason Sanders,MIA,2,2,2,2,0,0,,0
Matt Haack,MIA,,,,,4,142,35.5,58
Braden Mann,NYJ,,,,,6,286,47.7,58
Sergio Castillo,NYJ,,,1,2,0,0,,0
