Player,Tm,Scoring_XPM,Scoring_XPA,Scoring_FGM,Scoring_FGA,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Lng
Tyler Bass,BUF,2,2,3,3,0,0,,0
Sam Martin,BUF,,,,,3,136,45.3,56
Justin Tucker,BAL,2,2,2,2,0,0,,0
Jordan Stout,BAL,,,,,3,152,50.7,57
