Player,Tm,Scoring_XPM,Scoring_XPA,Scoring_FGM,Scoring_FGA,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Lng
Matt Bryant,ATL,3,3,1,1,0,0,,0
Matt Wile,ATL,,,,,5,251,50.2,60
Ka'imi Fairbairn,HOU,5,7,2,2,0,0,,0
Bryan Anger,HOU,,,,,1,35,35.0,35
