Player,Tm,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Kick Returns_Lng,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Punt Returns_Lng
Jaylen Waddle,MIA,2,38,19.0,0,20,0,0,,0,0
Jamal Agnew,JAX,3,55,18.3,0,23,0,0,,0,0
