Player,Tm,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Kick Returns_Lng,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Punt Returns_Lng
Tarik Cohen,CHI,0,0,,0,0,2,10,5.0,0,10
Deonte Thompson,CHI,2,43,21.5,0,22,0,0,,0,0
Bernard Reedy,TAM,0,0,,0,0,1,17,17.0,0,17
