Player,Tm,Scoring_XPM,Scoring_XPA,Scoring_FGM,Scoring_FGA,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Lng
Brandon McManus,DEN,1,1,2,2,0,0,,0
Riley Dixon,DEN,,,,,4,162,40.5,48
Harrison Butker,KAN,2,2,5,5,0,0,,
Dustin Colquitt,KAN,,,,,5,209,41.8,53
