Player,Tm,Scoring_XPM,Scoring_XPA,Scoring_FGM,Scoring_FGA,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Lng
Josh Lambo,JAX,1,1,2,3,0,0,,0
Brad Nortman,JAX,,,,,9,354,39.3,54
Zane Gonzalez,CLE,1,1,,,0,0,,
Britton Colquitt,CLE,,,,,8,376,47.0,54
