Player,Tm,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Kick Returns_Lng,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Punt Returns_Lng
Ryan Switzer,DAL,1,18,18.0,0,18,4,43,10.8,0,21
Kerwynn Williams,ARI,2,40,20.0,0,21,1,4,4.0,0,4
Patrick Peterson,ARI,0,0,,0,0,1,0,0.0,0,0
