Player,Tm,Scoring_XPM,Scoring_XPA,Scoring_FGM,Scoring_FGA,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Lng
Matt Prater,ARI,1,1,3,3,0,0,,0
Nolan Cooney,ARI,,,,,5,235,47.0,56
Joey Slye,WAS,2,2,2,2,0,0,,0
Tress Way,WAS,,,,,6,266,44.3,59
