Player,Tm,Scoring_XPM,Scoring_XPA,Scoring_FGM,Scoring_FGA,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Lng
Daniel Carlson,OAK,3,3,1,1,0,0,,0
AJ Cole III,OAK,,,,,5,259,51.8,74
Michael Badgley,LAC,2,2,1,1,0,0,,0
Ty Long,LAC,,,,,6,285,47.5,57
