Player,Tm,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Kick Returns_Lng,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Punt Returns_Lng
Travis Benjamin,LAC,0,0,,0,0,3,35,11.7,0,19
Desmond King,LAC,2,37,18.5,0,22,0,0,,0,0
Dwayne Harris,NYG,4,84,21.0,0,30,3,38,12.7,0,17
Odell Beckham Jr.,NYG,1,20,20.0,0,20,0,0,,0,0
Shane Vereen,NYG,1,20,20.0,0,20,0,0,,0,0
