Player,Tm,Scoring_XPM,Scoring_XPA,Scoring_FGM,Scoring_FGA,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Lng
Matt Prater,ARI,1,1,1,1,0,0,,0
Blake Gillikin,ARI,,,,,2,107,53.5,59
Matt Ammendola,HOU,3,3,,1,0,0,,0
Cameron Johnston,HOU,,,,,2,94,47.0,50
