Player,Tm,Kick Returns_Rt,Kick Returns_Yds,Kick Returns_Y/Rt,Kick Returns_TD,Kick Returns_Lng,Punt Returns_Ret,Punt Returns_Yds,Punt Returns_Y/R,Punt Returns_TD,Punt Returns_Lng
Jojo Natson,LAR,1,23,23.0,0,23,2,36,18.0,0,36
Blake Countess,LAR,1,24,24.0,0,24,0,0,,0,0
Richie James,SFO,1,21,21.0,0,21,1,6,6.0,0,6
