Player,Tm,Scoring_XPM,Scoring_XPA,Scoring_FGM,Scoring_FGA,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Lng
Tyler Bass,BUF,3,3,,,0,0,,0
Sam Martin,BUF,,,,,1,41,41.0,41
Jason Sanders,MIA,2,2,,,0,0,,0
Jake Bailey,MIA,,,,,5,239,47.8,58
