Player,Tm,Scoring_XPM,Scoring_XPA,Scoring_FGM,Scoring_FGA,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Lng
Brandon McManus,JAX,2,2,1,1,0,0,,0
Logan Cooke,JAX,,,,,5,247,49.4,60
Tyler Bass,BUF,2,2,,,0,0,,0
Sam Martin,BUF,,,,,6,258,43.0,53
