Player,Tm,Scoring_XPM,Scoring_XPA,Scoring_FGM,Scoring_FGA,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Lng
Matthew McCrane,OAK,1,1,1,2,0,0,,0
Johnny Townsend,OAK,,,,,4,197,49.3,51
Caleb Sturgis,LAC,2,3,2,3,0,0,,
Donnie Jones,LAC,,,,,3,129,43.0,59
