Player,Tm,Scoring_XPM,Scoring_XPA,Scoring_FGM,Scoring_FGA,Punting_Pnt,Punting_Yds,Punting_Y/P,Punting_Lng
Matt Prater,DET,3,3,1,1,0,0,,0
Sam Martin,DET,,,,,2,86,43.0,47
Daniel Carlson,OAK,4,4,1,2,0,0,,0
AJ Cole III,OAK,,,,,2,96,48.0,52
